cod_rest,latitud,longitud,latitud_rest,longitud_rest,comision,canal,medio,nom_rest,fecha_trans,valor_trans
61,3.465173,-76.530913,3.465173,-76.530913,686.0,didi,didi,AV SEXTA,2023-05-02,4899.0
115,3.384993,-76.52411,3.384993,-76.52411,486.0,ifood,MARKETIFOOD,CANEY,2023-05-02,3738.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,496.0,callcenter,CallCenter,CIUDAD CORDOBA,2023-05-02,4956.0
158,3.434722,-76.541968,3.434722,-76.541968,548.0,web,Web,SAN FERNANDO,2023-05-02,5477.0
149,3.465755,-76.521846,3.465755,-76.521846,1904.0,didi,didi,TERMINAL CAL,2023-05-02,13602.0
60,3.476362,-76.527899,3.476362,-76.527899,569.0,web,Web,CHIPICHAPE,2023-05-02,5692.0
134,3.369237,-76.527519,3.369237,-76.527519,485.0,app,Ios,JARDIN PLAZA,2023-05-02,4406.0
45,3.419646,-76.539767,3.419646,-76.539767,655.0,didi,didi,PALMETTO PLAZA,2023-05-02,4680.0
149,3.465755,-76.521846,3.465755,-76.521846,596.0,app,Ios,TERMINAL CAL,2023-05-02,5421.0
60,3.476362,-76.527899,3.476362,-76.527899,436.0,callcenter,CallCenter,CHIPICHAPE,2023-05-02,4357.0
37,3.425126,-76.540525,3.425126,-76.540525,857.0,didi,didi,ROOSEVELT,2023-05-02,6121.0
61,3.465173,-76.530913,3.465173,-76.530913,43.0,callcenter,CallCenter,AV SEXTA,2023-05-02,433.0
115,3.384993,-76.52411,3.384993,-76.52411,415.0,callcenter,CallCenter,CANEY,2023-05-02,4150.0
26,3.465128,-76.500496,3.465128,-76.500496,1247.0,tictuk,TICTUK,UNICO CALI,2023-05-02,10391.0
27,3.373917,-76.53903,3.373917,-76.53903,471.0,ifood,MARKETIFOOD,UNICENTRO CALI,2023-05-02,3621.0
60,3.476362,-76.527899,3.476362,-76.527899,1315.0,app,Android,CHIPICHAPE,2023-05-02,11953.0
61,3.465173,-76.530913,3.465173,-76.530913,344.0,callcenter,CallCenter,AV SEXTA,2023-05-02,3444.0
134,3.369237,-76.527519,3.369237,-76.527519,404.0,web,Web,JARDIN PLAZA,2023-05-02,4040.0
37,3.425126,-76.540525,3.425126,-76.540525,452.0,callcenter,CallCenter,ROOSEVELT,2023-05-02,4516.0
133,3.41587,-76.540117,3.41587,-76.540117,521.0,tictuk,TICTUK,COSMOCENTRO,2023-05-02,4341.0
45,3.419646,-76.539767,3.419646,-76.539767,406.0,web,Web,PALMETTO PLAZA,2023-05-02,4063.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,1416.0,ifood,LOGISTIC,PASO ANCHO ,2023-05-02,10893.0
60,3.476362,-76.527899,3.476362,-76.527899,1481.0,didi,didi,CHIPICHAPE,2023-05-02,10578.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,1229.0,callcenter,CallCenter,PASO ANCHO ,2023-05-02,12288.0
149,3.465755,-76.521846,3.465755,-76.521846,696.0,didi,didi,TERMINAL CAL,2023-05-02,4974.0
61,3.465173,-76.530913,3.465173,-76.530913,597.0,rappi,Rappi,AV SEXTA,2023-05-02,4120.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,444.0,app,Ios,CIUDAD CORDOBA,2023-05-02,4038.0
158,3.434722,-76.541968,3.434722,-76.541968,484.0,tictuk,TICTUK,SAN FERNANDO,2023-05-02,4033.0
134,3.369237,-76.527519,3.369237,-76.527519,1500.0,didi,didi,JARDIN PLAZA,2023-05-02,10712.0
134,3.369237,-76.527519,3.369237,-76.527519,292.0,callcenter,CallCenter,JARDIN PLAZA,2023-05-02,2916.0
37,3.425126,-76.540525,3.425126,-76.540525,442.0,callcenter,CallCenter,ROOSEVELT,2023-05-02,4420.0
133,3.41587,-76.540117,3.41587,-76.540117,1466.0,tictuk,TICTUK,COSMOCENTRO,2023-05-02,12217.0
133,3.41587,-76.540117,3.41587,-76.540117,497.0,callcenter,CallCenter,COSMOCENTRO,2023-05-02,4969.0
115,3.384993,-76.52411,3.384993,-76.52411,522.0,web,Web,CANEY,2023-05-02,5225.0
26,3.465128,-76.500496,3.465128,-76.500496,47.0,didi,didi,UNICO CALI,2023-05-02,338.0
133,3.41587,-76.540117,3.41587,-76.540117,93.0,web,Web,COSMOCENTRO,2023-05-02,926.0
149,3.465755,-76.521846,3.465755,-76.521846,84.0,ifood,MARKETIFOOD,TERMINAL CAL,2023-05-02,647.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,587.0,ifood,MARKETPLACE,CIUDAD CORDOBA,2023-05-02,4512.0
27,3.373917,-76.53903,3.373917,-76.53903,1419.0,tictuk,TICTUK,UNICENTRO CALI,2023-05-02,11827.0
115,3.384993,-76.52411,3.384993,-76.52411,460.0,ifood,MARKETPLACE,CANEY,2023-05-02,3535.0
60,3.476362,-76.527899,3.476362,-76.527899,737.0,rappi,Rappi,CHIPICHAPE,2023-05-02,5086.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,700.0,rappi,Rappi,CIUDAD CORDOBA,2023-05-02,4830.0
60,3.476362,-76.527899,3.476362,-76.527899,1884.0,rappi,Rappi,CHIPICHAPE,2023-05-02,12993.0
26,3.465128,-76.500496,3.465128,-76.500496,572.0,didi,didi,UNICO CALI,2023-05-02,4088.0
158,3.434722,-76.541968,3.434722,-76.541968,1209.0,web,Web,SAN FERNANDO,2023-05-02,12094.0
133,3.41587,-76.540117,3.41587,-76.540117,539.0,ifood,MARKETIFOOD,COSMOCENTRO,2023-05-02,4149.0
61,3.465173,-76.530913,3.465173,-76.530913,391.0,web,Web,AV SEXTA,2023-05-02,3913.0
158,3.434722,-76.541968,3.434722,-76.541968,1079.0,didi,didi,SAN FERNANDO,2023-05-02,7710.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,129.0,ifood,MARKETIFOOD,PASO ANCHO ,2023-05-02,993.0
158,3.434722,-76.541968,3.434722,-76.541968,148.0,web,Web,SAN FERNANDO,2023-05-02,1477.0
60,3.476362,-76.527899,3.476362,-76.527899,163.0,web,Web,CHIPICHAPE,2023-05-03,1634.0
134,3.369237,-76.527519,3.369237,-76.527519,818.0,app,Ios,JARDIN PLAZA,2023-05-03,7435.0
61,3.465173,-76.530913,3.465173,-76.530913,1347.0,ifood,LOGISTIC,AV SEXTA,2023-05-03,10360.0
158,3.434722,-76.541968,3.434722,-76.541968,1044.0,app,Ios,SAN FERNANDO,2023-05-03,9487.0
158,3.434722,-76.541968,3.434722,-76.541968,1502.0,ifood,MARKETPLACE,SAN FERNANDO,2023-05-03,11556.0
133,3.41587,-76.540117,3.41587,-76.540117,1307.0,app,Ios,COSMOCENTRO,2023-05-03,11881.0
45,3.419646,-76.539767,3.419646,-76.539767,1017.0,callcenter,CallCenter,PALMETTO PLAZA,2023-05-03,10171.0
134,3.369237,-76.527519,3.369237,-76.527519,431.0,didi,didi,JARDIN PLAZA,2023-05-03,3079.0
115,3.384993,-76.52411,3.384993,-76.52411,412.0,app,Ios,CANEY,2023-05-03,3748.0
115,3.384993,-76.52411,3.384993,-76.52411,14.0,ifood,LOGISTIC,CANEY,2023-05-03,111.0
27,3.373917,-76.53903,3.373917,-76.53903,563.0,didi,didi,UNICENTRO CALI,2023-05-03,4020.0
133,3.41587,-76.540117,3.41587,-76.540117,498.0,callcenter,CallCenter,COSMOCENTRO,2023-05-03,4977.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,446.0,callcenter,CallCenter,PASO ANCHO ,2023-05-03,4456.0
149,3.465755,-76.521846,3.465755,-76.521846,247.0,ifood,LOGISTIC,TERMINAL CAL,2023-05-03,1902.0
134,3.369237,-76.527519,3.369237,-76.527519,1261.0,didi,didi,JARDIN PLAZA,2023-05-03,9006.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,473.0,app,Ios,CIUDAD CORDOBA,2023-05-03,4299.0
60,3.476362,-76.527899,3.476362,-76.527899,1586.0,ifood,MARKETPLACE,CHIPICHAPE,2023-05-03,12202.0
60,3.476362,-76.527899,3.476362,-76.527899,614.0,app,Ios,CHIPICHAPE,2023-05-03,5583.0
27,3.373917,-76.53903,3.373917,-76.53903,1122.0,web,Web,UNICENTRO CALI,2023-05-03,11216.0
60,3.476362,-76.527899,3.476362,-76.527899,549.0,rappi,Rappi,CHIPICHAPE,2023-05-03,3783.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,524.0,tictuk,TICTUK,PASO ANCHO ,2023-05-03,4365.0
134,3.369237,-76.527519,3.369237,-76.527519,1679.0,rappi,Rappi,JARDIN PLAZA,2023-05-03,11578.0
27,3.373917,-76.53903,3.373917,-76.53903,475.0,app,Android,UNICENTRO CALI,2023-05-03,4316.0
37,3.425126,-76.540525,3.425126,-76.540525,1737.0,didi,didi,ROOSEVELT,2023-05-03,12405.0
134,3.369237,-76.527519,3.369237,-76.527519,506.0,tictuk,TICTUK,JARDIN PLAZA,2023-05-03,4218.0
134,3.369237,-76.527519,3.369237,-76.527519,821.0,rappi,Rappi,JARDIN PLAZA,2023-05-03,5664.0
61,3.465173,-76.530913,3.465173,-76.530913,408.0,tictuk,TICTUK,AV SEXTA,2023-05-03,3402.0
115,3.384993,-76.52411,3.384993,-76.52411,521.0,web,Web,CANEY,2023-05-03,5214.0
133,3.41587,-76.540117,3.41587,-76.540117,1412.0,tictuk,TICTUK,COSMOCENTRO,2023-05-03,11763.0
26,3.465128,-76.500496,3.465128,-76.500496,1836.0,didi,didi,UNICO CALI,2023-05-03,13116.0
27,3.373917,-76.53903,3.373917,-76.53903,1434.0,rappi,Rappi,UNICENTRO CALI,2023-05-03,9888.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1686.0,rappi,Rappi,CIUDAD CORDOBA,2023-05-03,11627.0
115,3.384993,-76.52411,3.384993,-76.52411,450.0,ifood,MARKETPLACE,CANEY,2023-05-03,3464.0
37,3.425126,-76.540525,3.425126,-76.540525,499.0,app,Ios,ROOSEVELT,2023-05-03,4533.0
37,3.425126,-76.540525,3.425126,-76.540525,577.0,rappi,Rappi,ROOSEVELT,2023-05-03,3977.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,646.0,ifood,MARKETPLACE,CIUDAD CORDOBA,2023-05-03,4971.0
133,3.41587,-76.540117,3.41587,-76.540117,455.0,app,Ios,COSMOCENTRO,2023-05-03,4132.0
115,3.384993,-76.52411,3.384993,-76.52411,586.0,didi,didi,CANEY,2023-05-03,4184.0
37,3.425126,-76.540525,3.425126,-76.540525,369.0,web,Web,ROOSEVELT,2023-05-03,3688.0
27,3.373917,-76.53903,3.373917,-76.53903,590.0,ifood,Marketifood,UNICENTRO CALI,2023-05-03,4537.0
37,3.425126,-76.540525,3.425126,-76.540525,1285.0,web,Web,ROOSEVELT,2023-05-03,12854.0
27,3.373917,-76.53903,3.373917,-76.53903,1179.0,ifood,LOGISTIC,UNICENTRO CALI,2023-05-03,9072.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,3.0,ifood,MARKETIFOOD,CIUDAD CORDOBA,2023-05-03,23.0
134,3.369237,-76.527519,3.369237,-76.527519,46.0,web,Web,JARDIN PLAZA,2023-05-03,464.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,635.0,tictuk,TICTUK,CIUDAD CORDOBA,2023-05-03,5293.0
133,3.41587,-76.540117,3.41587,-76.540117,416.0,app,Android,COSMOCENTRO,2023-05-03,3786.0
45,3.419646,-76.539767,3.419646,-76.539767,803.0,ifood,MARKETPLACE,PALMETTO PLAZA,2023-05-03,6178.0
60,3.476362,-76.527899,3.476362,-76.527899,1382.0,didi,didi,CHIPICHAPE,2023-05-03,9869.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,433.0,app,Ios,CIUDAD CORDOBA,2023-05-03,3936.0
60,3.476362,-76.527899,3.476362,-76.527899,740.0,didi,didi,CHIPICHAPE,2023-05-03,5288.0
134,3.369237,-76.527519,3.369237,-76.527519,967.0,callcenter,CallCenter,JARDIN PLAZA,2023-05-03,9666.0
149,3.465755,-76.521846,3.465755,-76.521846,414.0,tictuk,TICTUK,TERMINAL CAL,2023-05-03,3448.0
133,3.41587,-76.540117,3.41587,-76.540117,475.0,app,Android,COSMOCENTRO,2023-05-03,4320.0
45,3.419646,-76.539767,3.419646,-76.539767,369.0,callcenter,CallCenter,PALMETTO PLAZA,2023-05-03,3687.0
158,3.434722,-76.541968,3.434722,-76.541968,1419.0,app,Ios,SAN FERNANDO,2023-05-03,12901.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,119.0,rappi,Rappi,CIUDAD CORDOBA,2023-05-03,823.0
37,3.425126,-76.540525,3.425126,-76.540525,580.0,app,Android,ROOSEVELT,2023-05-03,5276.0
27,3.373917,-76.53903,3.373917,-76.53903,1027.0,web,Web,UNICENTRO CALI,2023-05-03,10271.0
158,3.434722,-76.541968,3.434722,-76.541968,654.0,ifood,LOGISTIC,SAN FERNANDO,2023-05-03,5032.0
60,3.476362,-76.527899,3.476362,-76.527899,610.0,ifood,MARKETIFOOD,CHIPICHAPE,2023-05-03,4694.0
61,3.465173,-76.530913,3.465173,-76.530913,946.0,rappi,Rappi,AV SEXTA,2023-05-03,6521.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,558.0,app,Android,PASO ANCHO ,2023-05-03,5070.0
134,3.369237,-76.527519,3.369237,-76.527519,428.0,app,Android,JARDIN PLAZA,2023-05-03,3889.0
61,3.465173,-76.530913,3.465173,-76.530913,1410.0,app,Android,AV SEXTA,2023-05-03,12817.0
45,3.419646,-76.539767,3.419646,-76.539767,1841.0,rappi,Rappi,PALMETTO PLAZA,2023-05-03,12700.0
61,3.465173,-76.530913,3.465173,-76.530913,506.0,app,Android,AV SEXTA,2023-05-04,4604.0
27,3.373917,-76.53903,3.373917,-76.53903,1080.0,app,Android,UNICENTRO CALI,2023-05-04,9820.0
45,3.419646,-76.539767,3.419646,-76.539767,491.0,rappi,Rappi,PALMETTO PLAZA,2023-05-04,3386.0
115,3.384993,-76.52411,3.384993,-76.52411,881.0,callcenter,CallCenter,CANEY,2023-05-04,8813.0
134,3.369237,-76.527519,3.369237,-76.527519,481.0,web,Web,JARDIN PLAZA,2023-05-04,4807.0
61,3.465173,-76.530913,3.465173,-76.530913,1469.0,rappi,Rappi,AV SEXTA,2023-05-04,10133.0
115,3.384993,-76.52411,3.384993,-76.52411,1733.0,rappi,Rappi,CANEY,2023-05-04,11953.0
26,3.465128,-76.500496,3.465128,-76.500496,810.0,web,Web,UNICO CALI,2023-05-04,8104.0
134,3.369237,-76.527519,3.369237,-76.527519,451.0,callcenter,CallCenter,JARDIN PLAZA,2023-05-04,4514.0
158,3.434722,-76.541968,3.434722,-76.541968,238.0,ifood,LOGISTIC,SAN FERNANDO,2023-05-04,1834.0
60,3.476362,-76.527899,3.476362,-76.527899,755.0,tictuk,TICTUK,CHIPICHAPE,2023-05-04,6293.0
37,3.425126,-76.540525,3.425126,-76.540525,1537.0,tictuk,TICTUK,ROOSEVELT,2023-05-04,12805.0
45,3.419646,-76.539767,3.419646,-76.539767,504.0,ifood,MARKETIFOOD,PALMETTO PLAZA,2023-05-04,3879.0
133,3.41587,-76.540117,3.41587,-76.540117,512.0,app,Ios,COSMOCENTRO,2023-05-04,4653.0
158,3.434722,-76.541968,3.434722,-76.541968,901.0,callcenter,CallCenter,SAN FERNANDO,2023-05-04,9013.0
149,3.465755,-76.521846,3.465755,-76.521846,472.0,callcenter,CallCenter,TERMINAL CAL,2023-05-04,4719.0
45,3.419646,-76.539767,3.419646,-76.539767,17.0,ifood,LOGISTIC,PALMETTO PLAZA,2023-05-04,127.0
27,3.373917,-76.53903,3.373917,-76.53903,636.0,rappi,Rappi,UNICENTRO CALI,2023-05-04,4384.0
115,3.384993,-76.52411,3.384993,-76.52411,348.0,callcenter,CallCenter,CANEY,2023-05-04,3483.0
158,3.434722,-76.541968,3.434722,-76.541968,518.0,rappi,Rappi,SAN FERNANDO,2023-05-04,3570.0
45,3.419646,-76.539767,3.419646,-76.539767,484.0,ifood,MARKETPLACE,PALMETTO PLAZA,2023-05-04,3723.0
27,3.373917,-76.53903,3.373917,-76.53903,446.0,web,Web,UNICENTRO CALI,2023-05-04,4463.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,15.0,web,Web,PASO ANCHO ,2023-05-04,152.0
45,3.419646,-76.539767,3.419646,-76.539767,496.0,tictuk,TICTUK,PALMETTO PLAZA,2023-05-04,4132.0
27,3.373917,-76.53903,3.373917,-76.53903,465.0,app,Android,UNICENTRO CALI,2023-05-04,4228.0
133,3.41587,-76.540117,3.41587,-76.540117,1214.0,callcenter,CallCenter,COSMOCENTRO,2023-05-04,12140.0
37,3.425126,-76.540525,3.425126,-76.540525,795.0,rappi,Rappi,ROOSEVELT,2023-05-04,5484.0
158,3.434722,-76.541968,3.434722,-76.541968,1141.0,didi,didi,SAN FERNANDO,2023-05-04,8151.0
60,3.476362,-76.527899,3.476362,-76.527899,42.0,didi,didi,CHIPICHAPE,2023-05-04,303.0
37,3.425126,-76.540525,3.425126,-76.540525,626.0,app,Android,ROOSEVELT,2023-05-04,5693.0
27,3.373917,-76.53903,3.373917,-76.53903,504.0,web,Web,UNICENTRO CALI,2023-05-04,5042.0
158,3.434722,-76.541968,3.434722,-76.541968,975.0,callcenter,CallCenter,SAN FERNANDO,2023-05-04,9751.0
134,3.369237,-76.527519,3.369237,-76.527519,612.0,ifood,Marketifood,JARDIN PLAZA,2023-05-04,4709.0
187,3.39671417,-76.50974468,3.39671417,-76.50974468,1398.0,app,Ios,CIUDAD CORDOBA,2023-05-04,12707.0
60,3.476362,-76.527899,3.476362,-76.527899,483.0,callcenter,CallCenter,CHIPICHAPE,2023-05-04,4830.0
133,3.41587,-76.540117,3.41587,-76.540117,1387.0,ifood,LOGISTIC,COSMOCENTRO,2023-05-04,10667.0
163,3.4126302,-76.5286968,3.4126302,-76.5286968,511.0,ifood,LOGISTIC,PASO ANCHO ,2023-05-04,3933.0
37,3.425126,-76.540525,3.425126,-76.540525,561.0,callcenter,CallCenter,ROOSEVELT,2023-05-04,5607.0
133,3.41587,-76.540117,3.41587,-76.540117,997.0,rappi,Rappi,COSMOCENTRO,2023-05-04,6877.0
